,,,,,,,,
,Year,Salary (14),Type of Organization/Industry (15),Location of employment (17),,,,
,2013,"$70,000.00","Multimedia/Publishing, Technology - Computer - Hardware/Softare/Internet","Chicago, IL",,,,
,2013,"$34,000.00",Public Library,"Shelby, Ohio, USA",,,,
,2013,"$90,000.00","Biotechnology/Pharmaceuticals, Healthcare","Northridge, CA",,,,
,2013,"$75,000.00",Technology- Computer Hardware/Software/Internet,"Arlington, VA",,,,
,2012,"$86,000",technology:software/internet,"Santa Clara, CA, USA",,,,
,2012,"$38,500",Academic Library/Archives,"Anchorage, Alaska",,,,
,2012,"$72,500",Automotive/Transportation,,,,,
,2012,"$77,000",Consulting,"San Jose, CA, US",,,,
,2012,"$90,000",technology:software/internet,"Seattle, WA, USA",,,,
,2012,"$40,000",University/College,"Ann Arbor, MI, USA",,,,
,2012,"$36,000",Public Library,"Beaumont, TX, USA",,,,
,2012,"$85,000","Advertising/Interactive Design Agency, Healthcare, Technology/Telecommunications","Lakewood, WA, USA",,,,
,2012,"$90,000",technology:software/internet,"San Francisco, CA, USA",,,,
,2012,"$70,000",technology:software/internet,Remote,,,,
,2012,"$70,000",Nonprofit,"Washington, DC",,,,
,2012,"$65,000",Government/Government Library/Archives,"Washington, DC",,,,
,2012,"$72,500",Consumer Goods,"Ada, MI, USA",,,,
,2012,"$30,500",", Multimedia/Publishing","Ann Arbor, MI, USA",,,,
,2012,"$60,000",Corporate/Special/Law Library/Financial Services/Banking,"Ann Arbor, MI",,,,
,2012,"$46,000",/Academic Library/Archives,"Ann Arbor, MI, USA",,,,
,2012,"$43,000",Academic Library/Archives,"Ann Arbor, MI, USA",,,,
,2012,"$34,000","Academic Library/Archives, ","Lawrence, KS",,,,
,2012,"$47,000",Academic Library/Archives,"Houston, TX, USA",,,,
,2012,"$32,400",Government/Government Library/Archives,"Jackson, MI, USA",,,,
,2012,"$100,000",Financial Services/Banking,"New York, NY, USA",,,,
,2012,"$95,000",Consumer Goods,"Santa Clara, CA, USA",,,,
,2012,"$150,000",technology:software/internet,"Chengdu, Sichuan, China",,,,
,2012,"$70,000",Healthcare,"Alexandria, VA, USA",,,,
,2012,"$55,000",technology:software/internet,"Roanoke, VA",,,,
,2012,"$50,000",Academic Library/Archives,"Towson, MD, USA",,,,
,2012,"$58,000",Healthcare,"Ann Arbor, MI",,,,
,2012,"$80,000",Advertising/Interactive Design Agency,"Ann Arbor, MI, USA",,,,
,2012,"$60,000",technology:software/internet,"Ann Arbor, MI, USA",,,,
,2012,"$58,500",Advertising/Interactive Design Agency,"Kalamazoo, MI, US",,,,
,2012,"$60,000",Advertising/Interactive Design Agency,"Detroit, MI",,,,
,2012,"$95,000",Healthcare,"Southfield, MI, USA",,,,
,2012,"$73,000","Healthcare, Research","Ann Arbor, MI",,,,
,2012,"$53,000",Advertising/Interactive Design Agency,"Cleveland, OH, USA",,,,
,2012,"$52,000",Financial Services/Banking,"Detroit, MI",,,,
,2012,"$37,500",Public Library,"Fort Wayne, IN, USA",,,,
,2012,"$30,000",Public Library,"Lake Orion, MI",,,,
